filename,title,memory,workers,total_executions
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,9,18
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,10,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,12,18
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,16,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,20,20
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,24,16
ml_stage3_aws_512Mb_arm,ml_stage3_aws_512Mb_arm,512,28,16
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,4,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,5,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,6,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,7,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,8,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,9,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,10,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,12,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,16,9
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,20,9
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,24,10
ml_stage3_aws_512Mb_x86,ml_stage3_aws_512Mb_x86,512,28,10
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,4,19
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,5,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,6,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,7,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,8,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,9,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,10,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,12,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,16,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,20,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,24,18
pi_monte_carlo_pi_stage,pi_monte_carlo_pi_stage,2048,28,18
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,4,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,5,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,6,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,7,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,8,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,9,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,10,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,12,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,16,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,20,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,24,10
pi_stage_2048Mb_x86,pi_stage_2048Mb_x86,2048,28,10
pi_stage_local_1024Mb_x86,pi_stage_local_1024Mb_x86,1024,4,10
