Architecture,Memory_MB,Workers,Example,Executions,Compute_Time_s,Energy_J,Cost_dollars
ARM,1024,9,ml,96,52.74558157959759,17454.57119546534,6.332634524446486
ARM,1024,9,pi,10,16.078986427519055,1959.2563326823708,1.9304431104879376
ARM,1024,9,titanic,9,23.1667071742776,7138.375916600228,2.7813948633437686
ARM,1024,9,video,44,106.96372357522598,26315.708563514192,12.842064652441632
ARM,1024,10,ml,96,53.25468032749753,19655.367109571045,7.10417435568817
ARM,1024,10,pi,13,14.501653427344102,2001.931788298717,1.9345205672077035
ARM,1024,10,titanic,9,20.629433523284064,7140.126140564017,2.751966432006094
ARM,1024,10,video,52,112.14689259162317,31182.846123199277,14.960395471722528
ARM,1024,12,ml,48,52.92513066671427,23517.141572589528,8.47225491712762
ARM,1024,12,pi,10,12.02594461242358,2080.3679834699633,1.9251132135567663
ARM,1024,12,titanic,9,16.504764828417038,7156.9881679773325,2.6420827537329994
ARM,1024,12,video,60,110.86342405875523,36731.89573419412,17.74701692332554
ARM,1024,16,ml,72,53.3390926496898,31861.5983899204,11.384695935149793
ARM,1024,16,pi,10,9.035863888263702,2204.865537586212,1.9286147883110043
ARM,1024,16,titanic,8,11.78282055258751,7433.196524925531,2.5149252187442777
ARM,1024,16,video,56,104.7581755561488,45679.43901265093,22.359584990704402
ARM,1024,20,ml,80,54.37686873810686,41597.69907273628,14.50774857932691
ARM,1024,20,pi,11,7.266555079546841,2375.43584345254,1.938716895223097
ARM,1024,20,titanic,9,9.13997180726793,7751.553341309229,2.4385444781790837
ARM,1024,20,video,60,103.67182878494263,56609.9600231107,27.65964391982269
ARM,1024,24,ml,68,54.06487304351063,49342.784497075794,17.309409753610364
ARM,1024,24,pi,11,5.975310191963658,2545.353600538861,1.9130553110590849
ARM,1024,24,titanic,9,7.3711497485637665,7922.141279804706,2.3599473035001752
ARM,1024,24,video,52,103.30841193443689,67357.18153850941,33.07522116492932
ARM,1024,28,ml,80,53.5983997417103,57505.942183355895,20.020074271523633
ARM,1024,28,pi,11,5.1034258797571255,2689.4132157705044,1.9062316346068813
ARM,1024,28,titanic,9,6.262075244434296,8554.230767623583,2.339010345301098
ARM,1024,28,video,60,105.91819493543534,81112.69408628147,39.56256417228381
ARM,2048,4,ml,76,27.56868405863803,8160.877106324191,2.9421299627378503
ARM,2048,4,pi,10,33.07968195080757,1761.7002123224736,3.5302636577901834
ARM,2048,4,titanic,10,35.383913832902905,7710.498433890342,3.776171284247398
ARM,2048,4,video,44,55.64413226734508,13467.197423497115,5.938341795571067
ARM,2048,5,ml,76,27.403446275706177,10148.878789451155,3.655619733179204
ARM,2048,5,pi,10,26.425334572792053,1778.1108433675763,3.52513963201046
ARM,2048,5,titanic,10,26.937582955360412,7514.089840366841,3.593473566245079
